job_id,job_name,job_version,github_username,github_user_id,status,score,profile_updated_at,matched_at,reasons_json,warnings_json
org-12345,senior engineer,1,Lesleyashh,78350096,FAIL,0,2026-01-03T17:14:31.103883,2026-01-03T17:14:31.105698,"[""Required skill threshold not met for automatic pass."", ""Required skills matched: python, testing."", ""Required skills missing: containerisation, ci, iac."", ""Optional skills matched: documentation."", ""Optional skills missing: code_quality, api_development.""]",[]
org-12345,senior engineer,1,octocat,583231,FAIL,0,2026-01-03T17:14:32.626898,2026-01-03T17:14:32.629474,"[""Required skill threshold not met for automatic pass."", ""Required skills missing: python, containerisation, ci, testing, iac."", ""Optional skills matched: documentation."", ""Optional skills missing: code_quality, api_development.""]",[]
